,average tilted,name
310,-75.0,SEYMOUR  BECKER
311,-75.0,RUDOLPH J VECOLI
312,-75.0,JONATHON  GRANT
313,-87.44342186310288,MICHAEL A AMUNDSON
314,-75.0,JOHN J KULCZYCKI
315,-75.0,JONATHAN  DALY
316,-75.0,MICHAEL  MCVAUGH
317,-81.42857142857143,CORT A MCCLAREN
318,-75.0,REX  EAKINS
319,-75.0,VIRGINIA G BURNETT
320,-88.10530187599741,ROGER L GEIGER
321,-75.0,NAN E WOODRUFF
322,-75.0,HUGH L AGNEW
323,-75.0,MARY  DERESHEVSKY
324,-75.0,HAROLD  BAUMAN
325,-75.0,DEVIN  DEWEESE
326,-75.0,DANA  LANDRY
327,-75.0,ANNE  HALLMARK
328,-78.75,DENNIS  BOUNDS
329,-75.0,JORGE R BERUFF
330,-75.0,ROB C WEGMAN
331,-75.0,JOSE A ARMILLAS VICENTE
332,-75.0,ANTHONY  PENNA
333,-75.0,INES  TALAMENTEZ
334,-75.0,JAMES A BRUHDAGE
335,-81.0,JEFF  HELLMER
336,-81.96428571428571,FRANK  KOONCE
337,-75.0,IAN  DUFFY
338,-75.0,MELVIN  STEELY
339,-75.0,JOHNPETER H GRILL
340,-75.0,ANDREW F HEMINGWAY
341,-75.0,JOHN  LAMPHEAR
342,-75.0,ROGER  BAGNELL
343,-75.0,JEFFREY A GRITZNER
344,-75.0,NEAL  SALISBURY
345,-75.0,ROBERT J NORRELL
346,-75.0,STEPHEN  PONDER
347,-78.75,DONALD D HOWARD
348,-75.0,JAMES E CRACRAFT
349,-75.0,ANTONIO S SANTANA
350,-87.44342186310288,FORD  RISLEY
351,-78.75,SEVERINE  NEFF
352,-75.0,ISABEL A ZAMORA
353,-75.0,W A WAISER
354,-75.0,E J ERRINGTON
355,-87.44342186310288,MICHAEL  DORLAND
356,-75.0,JANIS  LANGINS
357,-75.0,TOM  SAUNDERS
358,-75.0,WILLIAM  BRUNEAU
359,-87.44342186310288,JOHN-PAUL  HIMKA
360,-75.0,JOHN-PAUL  RINTA
361,-75.0,MILTON  ISRAEL
362,-75.0,P R MAGOCSI
363,-75.0,MARY P WINSOR
364,-78.75,IAN K STEELE
365,-75.0,MARILYN  BARBER
366,-75.0,MICHAEL  MAXWELL
367,-75.0,PAUL  LOVEJOY
368,-75.0,CLAUDE  MORIN
369,-75.0,ELLA  HERMON
370,-75.0,LINDA G DEPAUW
371,-75.0,KATHY  STUART
372,-75.0,GEOFFREY  GILES
373,-75.0,JEAN-MARIE  APOSTLIDES
374,-75.0,SAUL  CORNELL
375,-75.0,EDWARD D BERKOWITZ
376,-78.75,GOVIND P SREENIVASAN
377,-75.0,ROBERT T HAWKES
378,-75.0,GLORIA E TOCINO
379,-89.15823103886713,PAUL R LAIRD
380,-75.0,JAMES D LE SUEUR
381,-75.0,BARBARA  HILLERS
382,-75.0,RUTH  HERNDON
383,-85.43926806768745,VICTOR M LOPEZ PASTOR
384,-75.0,LARRY  MEILLER
385,-75.0,APOLLOS O NWAUWA
386,-80.00000000000001,ARNOLD P KRAMMER
387,-75.0,TUNDE  ADELEKE
388,-78.75,ROBERT  STORR
389,-78.75,TINO  BALIO
390,-87.44342186310288,ERIC  SCHATZBERG
391,-75.0,LINDA  OVERHOLDT
392,-87.44342186310288,PEDRO L SAN MIGUEL
393,-80.00000000000001,JOSHUA A PIKER
394,-75.0,ALUSINE  JALLOH
395,-75.0,OLIVIAR  ZUNZ
396,-75.0,KEITH  EGGENER
397,-75.0,MARK  GELFAND
398,-75.0,KARL  SWEARINGEN
399,-75.0,KAREL  STROETHOFF
400,-75.0,ROBERT J LANDY
401,-75.0,RICHARD  JEWELL
402,-83.90997266308142,THOMAS  BISSON
403,-78.75,WILBERT L JENKINS
404,-87.44342186310288,PETER  BOYER
405,-75.0,WM DAVID SLOAN
406,-75.0,RUDOLF  WINKES
407,-75.0,DANNY  PHIPPS
408,-78.75,MARTHA T ROTH
409,-84.94374174950634,MICHAEL C TUSA
410,-75.0,JOSE A BRANDAO
411,-75.0,ALAN G STAVITSKY
412,-75.0,JAMES V H MELTON
413,-75.0,ZVI  YAVETZ
414,-75.0,VINCENT C FELOSO
415,-75.0,MARGARET E CRAHAN
416,-87.44342186310288,REINHOLD  BRINKMANN
417,-80.00000000000001,HOLLY  SHISSLER
418,-78.75,ROLAND J WILEY
419,-75.0,JOEL H SILBEY
420,-75.0,BRIAN  OGILVIE
421,-80.00000000000001,WENDY H VENET
422,-78.75,ALLEN  FINCHUM
423,-75.0,WEH-HSIN  YEH
424,-75.0,JOSE L CALVO RUIZ
425,-75.0,RICHARD T HALLOCK
426,-75.0,JESSICA  RISKIN
427,-75.0,DOT  FINNEGAN
428,-75.0,ARUNA  D'SOUZA
429,-75.0,AJAY  SKARIA
430,-75.0,RICHARD A STALEY
431,-80.00000000000001,ROGER  LOUIS
432,-78.75,DOUGLAS  RICHMOND
433,-78.75,ANN  TWINAM
434,-75.0,JERONIMA I GARCIA
435,-75.0,QUINTARD  TAYLOR
436,-78.75,LOUIS  KYRIAKOUDES
437,-87.44342186310288,ARLENE  DIAZ
438,-75.0,WALTER B EDGAR
439,-78.75,ASTRID M ECKERT
440,-75.0,LINDA  PELLECCHIA
441,-75.0,LEE  SIMPSON
442,-75.0,FRANCES X BLOUIN
443,-87.44342186310288,ERIK  MALEWSKI
444,-75.0,STANLEY K SCHULTZ
445,-75.0,KEMAL  KARPIRT
446,-87.44342186310288,NEY G ROSAURO
447,-80.00000000000001,LISA M HARRINGTON
448,-78.75,DAVID  ELTIS
449,-75.0,RONALD S CALINGER
450,-75.0,TIM  PARSONS
451,-75.0,LENORE J WEITZMAN
452,-75.0,LESLIE  PEIRCE
453,-75.0,BRUCE  HEVLY
454,-75.0,LEE M A SIMPSON
455,-75.0,JOSE A SARMIENTO
456,-75.0,GABOR  AGOSTON
457,-75.0,JOSEPH E INIKORI
458,-75.0,JEFFREY  KINKLAY
459,-78.75,THOMAS D BROTHERS
460,-75.0,LEV  MANOVICH
461,-88.47835357203498,CARLTON  MCCREERY
462,-75.0,LUC  DUERELOO
463,-80.625,JOHN  OLAH
464,-84.47042164789939,DONALD  OGLESBY
465,-87.44342186310288,KAREN  HENSON
466,-75.0,MARSHALL  SCHOTT
467,-75.0,KATHRYN  EDWARDS
468,-75.0,LINDA  CURCIO-NAGY
469,-75.0,SUNDIATA  CHA-JUA
470,-75.0,ELLEN  GARRISON
471,-80.00000000000001,JOHN  BEALL
472,-80.00000000000001,RODNEY  WINTHER
473,-75.0,PATRICK  MCDEVITT
474,-75.0,LARRY J SIMON
475,-75.0,RASHEED I C HOSEIN
476,-85.46471318372528,STEVEN  SCHICK
477,-75.0,MACEO C DAILEY
478,-75.0,BILLIE J WAHLSTROM
479,-75.0,BARRETT  BRENTON
480,-75.0,MERRY  WIESNER-HANKS
481,-75.0,KRISTIN M SZYLVIAN
482,-75.0,HOPE  LONGWELL-GRICE
483,-75.0,H C ERIK MIDELFART
484,-75.0,FERNANDO  PICO
485,-75.0,MARTA  VICENTE
486,-75.0,TIMOTHY  PARSONS
487,-75.0,JOSEPH  MANFREDO
488,-75.0,NICHOLAS  HEER
489,-75.0,DIRK  HOERDER
490,-87.44342186310288,ALLAN  ATLAS
491,-75.0,MARTIN  SHERWIN
492,-75.0,ILAN  TROEN
493,-75.0,PHYLLIS D JESSE
494,-78.75,FRED  BEARD
495,-75.0,TALYA  FISHMAN
496,-75.0,KATHY  FULLER-SEELEY
497,-87.44342186310288,JON  FINSON
498,-75.0,NICHOLAS M CREARY
499,-78.75,LAUREN  BENTON
500,-75.0,STEVEN  LIVESEY
501,-75.0,WULF  KANSTEINER
502,-75.0,THOMAS N TENTLER
503,-78.75,JANE P CLENDINNING
504,-75.0,WOLF  SCHAEFER
505,-75.0,EDWARD  DICKINSON
506,-75.0,IRENE  BIERMAN-MCKINNEY
507,-75.0,A G ROEBER
508,-75.0,MARK D SZUCHMAN
509,-75.0,LENARD  BERCANSTEIN
510,-75.0,RICHARD L TURITS
511,-87.44342186310288,GRAYSON  WAGSTAFF
512,-87.46911743363202,NORMAN  CAREY
513,-75.0,SARAH  SHARMA
514,-75.0,JOHN C CHASTEEM
515,-80.00000000000001,BRUCE  SAYLOR
516,-75.0,ED  GUERRERO
517,-75.0,JEFFREY  PILCHER
518,-85.43926806768745,WILLIAM  SHOMOS
519,-75.0,KRISTEN  FOSTER
520,-78.75,SUSAN P CASTERAS
521,-78.75,BRYANT  SIMON
522,-75.0,BRIGID  COHEN
523,-75.0,TOM A MIDTROD
524,-75.0,WIFREDO R GARCIA
525,-75.0,ARWIN  SMALLWOOD
526,-78.75,ODAI  JOHNSON
527,-75.0,HARVEY  YOUNG
528,-75.0,ALEJANDRO D LA FUENTE
529,-75.0,IRINA  LIVEZEANU
530,-75.0,RAFAEL S MANTERO
531,-75.0,JUDIT  FORRAI
532,-75.0,SEAN M QUINLAN
533,-75.0,DOUGLASS  SULLIVAN-GONZALEZ
534,-75.0,ALISON  FUTRELL
535,-78.75,ROSEMARY  FEURER
536,-75.0,JOSHUA A SHANNON
537,-75.0,STEVE  BRIODY
538,-78.75,TIMOTHY  NORTHCUT
539,-75.0,ROBERT  SLIFKIN
540,-75.0,SABINE  FEISST
541,-75.0,LYNN  STONER
542,-75.0,CLAIRE  BISHOP
543,-78.75,REGINALD  BAIN
544,-75.0,TED  KARAMANSKI
545,-80.00000000000001,RICHARD M HEIDEL
546,-75.0,ANDREW  MORRALL
547,-75.0,ANDREA  GIUNTA
548,-75.0,MARK W SUMMERS
549,-80.00000000000001,THOMAS E CANEVA
550,-78.75,ROBERT  MCCASHIN
551,-75.0,LIANA  VARDI
552,-75.0,ANDREW I FROELICH
553,-75.0,SUNDIATA K CHA JUA
554,-75.0,MARK  LAUSE
555,-75.0,JAMES C GIESEN
556,-75.0,JAMIE L WINDERS
557,-75.0,ALAN  KEILER
558,-75.0,JOEL  ALLEN
559,-75.0,GERALD  KUTCHER
560,-75.0,DAVID  D'ANDREA
561,-75.0,CATHERINE  O'DONNELL
562,-75.0,TOM  HAVENS
563,-75.0,CHI  ANYANSI-ARCHIBONG
564,-87.44342186310288,FALK  HUETTMANN
565,-75.0,TOURAJ  DARYAEE
566,-75.0,AHMED E SHAMSY
567,-75.0,MELISSA  BOKOVOY
