y,comp-1,comp-2,label
0,36.882435,5.7151732,ICASSP(Signal Processing)
0,39.345093,-0.08942341,ICASSP(Signal Processing)
0,21.994398,27.472315,ICASSP(Signal Processing)
0,21.958956,-1.0587113,ICASSP(Signal Processing)
0,23.812626,8.92138,ICASSP(Signal Processing)
0,-8.723166,10.598576,ICASSP(Signal Processing)
0,-8.297879,10.527515,ICASSP(Signal Processing)
0,15.96734,9.524612,ICASSP(Signal Processing)
0,-9.110355,9.573567,ICASSP(Signal Processing)
0,-9.136212,10.03315,ICASSP(Signal Processing)
0,-10.879274,11.092975,ICASSP(Signal Processing)
0,-9.231991,10.175589,ICASSP(Signal Processing)
0,-4.335765,19.751738,ICASSP(Signal Processing)
0,37.26497,3.0920622,ICASSP(Signal Processing)
0,15.956993,9.599025,ICASSP(Signal Processing)
0,-33.79815,4.1827865,ICASSP(Signal Processing)
0,1.8752977,36.343075,ICASSP(Signal Processing)
0,-10.192874,10.815544,ICASSP(Signal Processing)
0,-9.638685,10.847151,ICASSP(Signal Processing)
0,-12.422117,-7.323665,ICASSP(Signal Processing)
0,36.665913,7.7087564,ICASSP(Signal Processing)
0,36.764103,9.31563,ICASSP(Signal Processing)
0,14.08074,31.84368,ICASSP(Signal Processing)
0,12.687531,7.6313314,ICASSP(Signal Processing)
0,12.282538,32.197754,ICASSP(Signal Processing)
0,-9.093302,9.800782,ICASSP(Signal Processing)
0,26.338335,12.454094,ICASSP(Signal Processing)
0,-8.677261,10.671792,ICASSP(Signal Processing)
0,-10.899628,-36.998985,ICASSP(Signal Processing)
0,9.265162,7.770087,ICASSP(Signal Processing)
0,-10.236119,10.250668,ICASSP(Signal Processing)
0,16.36084,10.126947,ICASSP(Signal Processing)
0,15.060823,20.261106,ICASSP(Signal Processing)
0,-9.148319,9.964552,ICASSP(Signal Processing)
0,-14.791694,-37.085724,ICASSP(Signal Processing)
0,-10.478157,7.2087426,ICASSP(Signal Processing)
0,0.8754267,35.041237,ICASSP(Signal Processing)
0,-9.119894,9.4358,ICASSP(Signal Processing)
0,15.846825,9.989563,ICASSP(Signal Processing)
0,-9.147992,9.550247,ICASSP(Signal Processing)
0,-9.88718,9.681079,ICASSP(Signal Processing)
0,-9.077945,10.209168,ICASSP(Signal Processing)
0,27.897839,9.504716,ICASSP(Signal Processing)
0,16.061766,10.285581,ICASSP(Signal Processing)
0,19.425688,-15.697992,ICASSP(Signal Processing)
0,37.267952,2.9475346,ICASSP(Signal Processing)
0,17.509377,28.875803,ICASSP(Signal Processing)
0,27.744905,-4.8370724,ICASSP(Signal Processing)
0,-8.943095,9.907934,ICASSP(Signal Processing)
0,5.305422,26.993578,ICASSP(Signal Processing)
0,20.452177,30.552797,ICASSP(Signal Processing)
0,34.821606,5.07403,ICASSP(Signal Processing)
0,10.729068,21.48483,ICASSP(Signal Processing)
0,-17.455359,13.174521,ICASSP(Signal Processing)
0,18.312042,25.882898,ICASSP(Signal Processing)
0,12.7876005,26.59053,ICASSP(Signal Processing)
0,3.310101,24.497385,ICASSP(Signal Processing)
0,29.791595,8.88284,ICASSP(Signal Processing)
0,8.731512,23.743721,ICASSP(Signal Processing)
0,11.926384,19.969618,ICASSP(Signal Processing)
0,-22.157612,24.582014,ICASSP(Signal Processing)
0,7.3364153,30.340502,ICASSP(Signal Processing)
0,3.4078636,27.168581,ICASSP(Signal Processing)
0,5.513272,24.953043,ICASSP(Signal Processing)
0,-3.0026557,26.217707,ICASSP(Signal Processing)
0,8.945526,28.59694,ICASSP(Signal Processing)
0,13.61759,26.565561,ICASSP(Signal Processing)
0,10.344579,28.247856,ICASSP(Signal Processing)
0,-33.06654,2.3499188,ICASSP(Signal Processing)
0,22.31619,29.38807,ICASSP(Signal Processing)
0,-2.99262,25.446486,ICASSP(Signal Processing)
0,4.1653094,25.221981,ICASSP(Signal Processing)
0,-25.989367,13.983782,ICASSP(Signal Processing)
0,7.763475,26.57968,ICASSP(Signal Processing)
0,10.956207,29.650822,ICASSP(Signal Processing)
0,5.591445,28.778929,ICASSP(Signal Processing)
0,-11.743332,-36.97899,ICASSP(Signal Processing)
0,1.7103412,26.23935,ICASSP(Signal Processing)
0,17.05301,29.787605,ICASSP(Signal Processing)
0,-24.54383,23.350693,ICASSP(Signal Processing)
0,0.5966666,9.88331,ICASSP(Signal Processing)
0,12.637995,19.684614,ICASSP(Signal Processing)
0,-13.13707,32.33131,ICASSP(Signal Processing)
0,8.432604,27.515265,ICASSP(Signal Processing)
0,13.359055,7.46066,ICASSP(Signal Processing)
0,0.11367217,23.298222,ICASSP(Signal Processing)
0,-1.0903231,27.283915,ICASSP(Signal Processing)
0,-7.5178623,29.305302,ICASSP(Signal Processing)
0,14.019472,26.602707,ICASSP(Signal Processing)
0,11.401002,20.449423,ICASSP(Signal Processing)
0,11.571643,20.307648,ICASSP(Signal Processing)
0,-26.168268,-4.817497,ICASSP(Signal Processing)
0,12.811918,26.920036,ICASSP(Signal Processing)
0,2.030648,25.310806,ICASSP(Signal Processing)
0,6.5497003,21.253033,ICASSP(Signal Processing)
0,8.425183,30.525589,ICASSP(Signal Processing)
0,-7.620667,28.664854,ICASSP(Signal Processing)
0,14.548052,23.241768,ICASSP(Signal Processing)
0,-35.41024,-12.809795,ICASSP(Signal Processing)
0,8.475877,30.154068,ICASSP(Signal Processing)
0,6.026709,28.398102,ICASSP(Signal Processing)
0,14.715649,19.567736,ICASSP(Signal Processing)
